vector,bit_lsb,bit_msb,width,wrapper_field,struct_name,signal,type_name
pi,370,379,10,regs,TLB_regs_t,regs.entry_vpn1[12],reg10_t
pi,380,389,10,regs,TLB_regs_t,regs.entry_vpn1[13],reg10_t
pi,390,399,10,regs,TLB_regs_t,regs.entry_vpn1[14],reg10_t
pi,400,409,10,regs,TLB_regs_t,regs.entry_vpn1[15],reg10_t
pi,410,419,10,regs,TLB_regs_t,regs.entry_vpn1[16],reg10_t
pi,420,429,10,regs,TLB_regs_t,regs.entry_vpn1[17],reg10_t
pi,430,439,10,regs,TLB_regs_t,regs.entry_vpn1[18],reg10_t
pi,440,449,10,regs,TLB_regs_t,regs.entry_vpn1[19],reg10_t
pi,450,459,10,regs,TLB_regs_t,regs.entry_vpn1[20],reg10_t
pi,460,469,10,regs,TLB_regs_t,regs.entry_vpn1[21],reg10_t
pi,470,479,10,regs,TLB_regs_t,regs.entry_vpn1[22],reg10_t
pi,480,489,10,regs,TLB_regs_t,regs.entry_vpn1[23],reg10_t
pi,490,499,10,regs,TLB_regs_t,regs.entry_vpn1[24],reg10_t
pi,500,509,10,regs,TLB_regs_t,regs.entry_vpn1[25],reg10_t
pi,510,519,10,regs,TLB_regs_t,regs.entry_vpn1[26],reg10_t
pi,520,529,10,regs,TLB_regs_t,regs.entry_vpn1[27],reg10_t
pi,530,539,10,regs,TLB_regs_t,regs.entry_vpn1[28],reg10_t
pi,540,549,10,regs,TLB_regs_t,regs.entry_vpn1[29],reg10_t
pi,550,559,10,regs,TLB_regs_t,regs.entry_vpn1[30],reg10_t
pi,560,569,10,regs,TLB_regs_t,regs.entry_vpn1[31],reg10_t
pi,570,579,10,regs,TLB_regs_t,regs.entry_vpn0[0],reg10_t
pi,580,589,10,regs,TLB_regs_t,regs.entry_vpn0[1],reg10_t
pi,590,599,10,regs,TLB_regs_t,regs.entry_vpn0[2],reg10_t
pi,600,609,10,regs,TLB_regs_t,regs.entry_vpn0[3],reg10_t
pi,610,619,10,regs,TLB_regs_t,regs.entry_vpn0[4],reg10_t
pi,620,629,10,regs,TLB_regs_t,regs.entry_vpn0[5],reg10_t
pi,630,639,10,regs,TLB_regs_t,regs.entry_vpn0[6],reg10_t
pi,640,649,10,regs,TLB_regs_t,regs.entry_vpn0[7],reg10_t
pi,650,659,10,regs,TLB_regs_t,regs.entry_vpn0[8],reg10_t
pi,660,669,10,regs,TLB_regs_t,regs.entry_vpn0[9],reg10_t
pi,670,679,10,regs,TLB_regs_t,regs.entry_vpn0[10],reg10_t
pi,680,689,10,regs,TLB_regs_t,regs.entry_vpn0[11],reg10_t
pi,690,699,10,regs,TLB_regs_t,regs.entry_vpn0[12],reg10_t
pi,700,709,10,regs,TLB_regs_t,regs.entry_vpn0[13],reg10_t
pi,710,719,10,regs,TLB_regs_t,regs.entry_vpn0[14],reg10_t
pi,720,729,10,regs,TLB_regs_t,regs.entry_vpn0[15],reg10_t
pi,730,739,10,regs,TLB_regs_t,regs.entry_vpn0[16],reg10_t
pi,740,749,10,regs,TLB_regs_t,regs.entry_vpn0[17],reg10_t
pi,750,759,10,regs,TLB_regs_t,regs.entry_vpn0[18],reg10_t
pi,760,769,10,regs,TLB_regs_t,regs.entry_vpn0[19],reg10_t
pi,770,779,10,regs,TLB_regs_t,regs.entry_vpn0[20],reg10_t
pi,780,789,10,regs,TLB_regs_t,regs.entry_vpn0[21],reg10_t
pi,790,799,10,regs,TLB_regs_t,regs.entry_vpn0[22],reg10_t
pi,800,809,10,regs,TLB_regs_t,regs.entry_vpn0[23],reg10_t
pi,810,819,10,regs,TLB_regs_t,regs.entry_vpn0[24],reg10_t
pi,820,829,10,regs,TLB_regs_t,regs.entry_vpn0[25],reg10_t
pi,830,839,10,regs,TLB_regs_t,regs.entry_vpn0[26],reg10_t
pi,840,849,10,regs,TLB_regs_t,regs.entry_vpn0[27],reg10_t
pi,850,859,10,regs,TLB_regs_t,regs.entry_vpn0[28],reg10_t
pi,860,869,10,regs,TLB_regs_t,regs.entry_vpn0[29],reg10_t
pi,870,879,10,regs,TLB_regs_t,regs.entry_vpn0[30],reg10_t
pi,880,889,10,regs,TLB_regs_t,regs.entry_vpn0[31],reg10_t
pi,890,901,12,regs,TLB_regs_t,regs.entry_ppn1[0],reg12_t
pi,902,913,12,regs,TLB_regs_t,regs.entry_ppn1[1],reg12_t
pi,914,925,12,regs,TLB_regs_t,regs.entry_ppn1[2],reg12_t
pi,926,937,12,regs,TLB_regs_t,regs.entry_ppn1[3],reg12_t
pi,938,949,12,regs,TLB_regs_t,regs.entry_ppn1[4],reg12_t
pi,950,961,12,regs,TLB_regs_t,regs.entry_ppn1[5],reg12_t
pi,962,973,12,regs,TLB_regs_t,regs.entry_ppn1[6],reg12_t
pi,974,985,12,regs,TLB_regs_t,regs.entry_ppn1[7],reg12_t
pi,986,997,12,regs,TLB_regs_t,regs.entry_ppn1[8],reg12_t
pi,998,1009,12,regs,TLB_regs_t,regs.entry_ppn1[9],reg12_t
pi,1010,1021,12,regs,TLB_regs_t,regs.entry_ppn1[10],reg12_t
pi,1022,1033,12,regs,TLB_regs_t,regs.entry_ppn1[11],reg12_t
pi,1034,1045,12,regs,TLB_regs_t,regs.entry_ppn1[12],reg12_t
pi,1046,1057,12,regs,TLB_regs_t,regs.entry_ppn1[13],reg12_t
pi,1058,1069,12,regs,TLB_regs_t,regs.entry_ppn1[14],reg12_t
pi,1070,1081,12,regs,TLB_regs_t,regs.entry_ppn1[15],reg12_t
pi,1082,1093,12,regs,TLB_regs_t,regs.entry_ppn1[16],reg12_t
pi,1094,1105,12,regs,TLB_regs_t,regs.entry_ppn1[17],reg12_t
pi,1106,1117,12,regs,TLB_regs_t,regs.entry_ppn1[18],reg12_t
pi,1118,1129,12,regs,TLB_regs_t,regs.entry_ppn1[19],reg12_t
pi,1130,1141,12,regs,TLB_regs_t,regs.entry_ppn1[20],reg12_t
pi,1142,1153,12,regs,TLB_regs_t,regs.entry_ppn1[21],reg12_t
pi,1154,1165,12,regs,TLB_regs_t,regs.entry_ppn1[22],reg12_t
pi,1166,1177,12,regs,TLB_regs_t,regs.entry_ppn1[23],reg12_t
pi,1178,1189,12,regs,TLB_regs_t,regs.entry_ppn1[24],reg12_t
pi,1190,1201,12,regs,TLB_regs_t,regs.entry_ppn1[25],reg12_t
pi,1202,1213,12,regs,TLB_regs_t,regs.entry_ppn1[26],reg12_t
pi,1214,1225,12,regs,TLB_regs_t,regs.entry_ppn1[27],reg12_t
pi,1226,1237,12,regs,TLB_regs_t,regs.entry_ppn1[28],reg12_t
pi,1238,1249,12,regs,TLB_regs_t,regs.entry_ppn1[29],reg12_t
pi,1250,1261,12,regs,TLB_regs_t,regs.entry_ppn1[30],reg12_t
pi,1262,1273,12,regs,TLB_regs_t,regs.entry_ppn1[31],reg12_t
pi,1274,1283,10,regs,TLB_regs_t,regs.entry_ppn0[0],reg10_t
pi,1284,1293,10,regs,TLB_regs_t,regs.entry_ppn0[1],reg10_t
pi,1294,1303,10,regs,TLB_regs_t,regs.entry_ppn0[2],reg10_t
pi,1304,1313,10,regs,TLB_regs_t,regs.entry_ppn0[3],reg10_t
pi,1314,1323,10,regs,TLB_regs_t,regs.entry_ppn0[4],reg10_t
pi,1324,1333,10,regs,TLB_regs_t,regs.entry_ppn0[5],reg10_t
